scenario_id,run_id,sample_id,target_ap_id,time_s,position_m,speed_mps,ap_id,obm_id,rssi_dbm,serving_ap_id,is_serving,is_valid,receiver_status,label
scenario_demo,run_demo,sample_demo,AP-002,0.00,-1.0,20.0,AP-001,OBM-front,-72.0,AP-002,0,1,ok,healthy
scenario_demo,run_demo,sample_demo,AP-002,0.00,-1.0,20.0,AP-002,OBM-front,-39.5,AP-002,1,1,ok,healthy
scenario_demo,run_demo,sample_demo,AP-002,0.00,-1.0,20.0,AP-003,OBM-front,-73.0,AP-002,0,1,ok,healthy
scenario_demo,run_demo,sample_demo,AP-002,0.00,-81.0,20.0,AP-001,OBM-rear,-58.5,AP-002,0,1,ok,healthy
scenario_demo,run_demo,sample_demo,AP-002,0.00,-81.0,20.0,AP-002,OBM-rear,-56.0,AP-002,1,1,ok,healthy
scenario_demo,run_demo,sample_demo,AP-002,0.00,-81.0,20.0,AP-003,OBM-rear,-80.0,AP-002,0,1,ok,healthy
scenario_demo,run_demo,sample_demo,AP-002,0.05,0.0,20.0,AP-001,OBM-front,-72.2,AP-002,0,1,ok,healthy
scenario_demo,run_demo,sample_demo,AP-002,0.05,0.0,20.0,AP-002,OBM-front,-39.0,AP-002,1,1,ok,healthy
scenario_demo,run_demo,sample_demo,AP-002,0.05,0.0,20.0,AP-003,OBM-front,-72.2,AP-002,0,1,ok,healthy
scenario_demo,run_demo,sample_demo,AP-002,0.05,-80.0,20.0,AP-001,OBM-rear,-58.8,AP-002,0,1,ok,healthy
scenario_demo,run_demo,sample_demo,AP-002,0.05,-80.0,20.0,AP-002,OBM-rear,-55.7,AP-002,1,1,ok,healthy
scenario_demo,run_demo,sample_demo,AP-002,0.05,-80.0,20.0,AP-003,OBM-rear,-79.8,AP-002,0,1,ok,healthy
scenario_demo,run_demo,sample_demo,AP-002,0.10,1.0,20.0,AP-001,OBM-front,-73.0,AP-002,0,1,ok,healthy
scenario_demo,run_demo,sample_demo,AP-002,0.10,1.0,20.0,AP-002,OBM-front,-39.6,AP-002,1,1,ok,healthy
scenario_demo,run_demo,sample_demo,AP-002,0.10,1.0,20.0,AP-003,OBM-front,-72.0,AP-002,0,1,ok,healthy
scenario_demo,run_demo,sample_demo,AP-002,0.10,-79.0,20.0,AP-001,OBM-rear,-59.0,AP-002,0,1,ok,healthy
scenario_demo,run_demo,sample_demo,AP-002,0.10,-79.0,20.0,AP-002,OBM-rear,-55.4,AP-002,1,1,ok,healthy
scenario_demo,run_demo,sample_demo,AP-002,0.10,-79.0,20.0,AP-003,OBM-rear,-79.5,AP-002,0,1,ok,healthy
